metric_name,date,p10,p50,p90
s3.request,2019-12-26T18:00:00Z,3670.180438096441,5810.0295586935035,7949.878679290567
s3.request,2019-12-26T19:00:00Z,1607.972576219032,3748.5576114103815,5889.142646601731
s3.request,2019-12-26T20:00:00Z,82.87952481677439,2224.2002216882815,4365.520918559789
s3.request,2019-12-26T21:00:00Z,-552.5469866366652,1589.5091192614518,3731.565225159569
s3.request,2019-12-26T22:00:00Z,-402.6085986602766,1740.182663871035,3882.9739264023465
s3.request,2019-12-26T23:00:00Z,184.42582759226252,2327.9519946230407,4471.4781616538185
s3.request,2019-12-27T00:00:00Z,904.2915759977568,3048.5523956535158,5192.813215309275
s3.request,2019-12-27T01:00:00Z,1637.0385034638493,3782.033724128901,5927.028944793953
s3.request,2019-12-27T02:00:00Z,2389.514060714408,4535.24343103142,6680.972801348433
s3.request,2019-12-27T03:00:00Z,3161.7371746636827,5308.2004435332365,7454.66371240279
s3.request,2019-12-27T04:00:00Z,3881.617229112026,6028.814145692175,8176.011062272324
s3.request,2019-12-27T05:00:00Z,4440.128191688011,6588.05850539384,8735.98881909967
s3.request,2019-12-27T06:00:00Z,4751.157070854632,6899.820531357825,9048.483991861016
s3.request,2019-12-27T07:00:00Z,4766.015859755949,6915.412216984341,9064.808574212733
s3.request,2019-12-27T08:00:00Z,4461.793697952595,6611.922702089743,8762.051706226892
s3.request,2019-12-27T09:00:00Z,3872.0232324135686,6022.884633898317,8173.746035383065
s3.request,2019-12-27T10:00:00Z,3166.738065770715,5318.3316152967545,7469.925164822795
s3.request,2019-12-27T11:00:00Z,2684.139061050936,4836.464509566376,6988.789958081817
s3.request,2019-12-27T12:00:00Z,2803.800243213974,4956.857341920908,7109.914440627841
s3.request,2019-12-27T13:00:00Z,3682.4935775082154,5836.282077862288,7990.07057821636
s3.request,2019-12-27T14:00:00Z,5039.674290643336,7194.193944353316,9348.713598063296
s3.request,2019-12-27T15:00:00Z,6205.964409459126,8361.214968486474,10516.465527513823
s3.request,2019-12-27T16:00:00Z,6471.47372100091,8627.454937559354,10783.436154117799
s3.request,2019-12-27T17:00:00Z,5522.322057504107,7679.03368405921,9835.745310614313
s3.request,2019-12-27T18:00:00Z,3652.587769424768,5810.0295586935035,7967.471347962239
s3.request,2019-12-27T19:00:00Z,1590.3859064600524,3748.5576114103815,5906.72931636071
s3.request,2019-12-27T20:00:00Z,65.29884783783655,2224.2002216882815,4383.1015955387265
s3.request,2019-12-27T21:00:00Z,-570.1216769577691,1589.5091192614518,3749.1399154806727
s3.request,2019-12-27T22:00:00Z,-420.1773084353381,1740.182663871035,3900.542636177408
s3.request,2019-12-27T23:00:00Z,166.86309226184449,2327.9519946230407,4489.040896984237
s3.request,2019-12-28T00:00:00Z,886.7348090209507,3048.5523956535158,5210.369982286081
s3.request,2019-12-28T01:00:00Z,1619.4876987599669,3782.033724128901,5944.579749497836
s3.request,2019-12-28T02:00:00Z,2371.9692122130796,4535.24343103142,6698.51764984976
s3.request,2019-12-28T03:00:00Z,3144.1982763048322,5308.2004435332365,7472.20261076164
s3.request,2019-12-28T04:00:00Z,3864.084274845847,6028.814145692175,8193.544016538503
s3.request,2019-12-28T05:00:00Z,4422.601175474942,6588.05850539384,8753.515835312739
s3.request,2019-12-28T06:00:00Z,4733.635986665334,6899.820531357825,9066.005076050315
s3.request,2019-12-28T07:00:00Z,4748.500701571277,6915.412216984341,9082.323732397406
s3.request,2019-12-28T08:00:00Z,4444.284459763578,6611.922702089743,8779.560944415909
s3.request,2019-12-28T09:00:00Z,3854.519908221385,6022.884633898317,8191.2493595752485
s3.request,2019-12-28T10:00:00Z,3149.240649586666,5318.3316152967545,7487.422581006843
s3.request,2019-12-28T11:00:00Z,2666.6475468964254,4836.464509566376,7006.281472236327
s3.request,2019-12-28T12:00:00Z,2786.3146251204807,4956.857341920908,7127.400058721335
s3.request,2019-12-28T13:00:00Z,3665.013849517272,5836.282077862288,8007.550306207304
s3.request,2019-12-28T14:00:00Z,5022.200446806503,7194.193944353316,9366.187441900129
s3.request,2019-12-28T15:00:00Z,6188.496443837973,8361.214968486474,10533.933493134977
s3.request,2019-12-28T16:00:00Z,6454.011627666987,8627.454937559354,10800.898247451722
s3.request,2019-12-28T17:00:00Z,5504.865830538922,7679.03368405921,9853.201537579498
s3.request,2019-12-28T18:00:00Z,3635.137402919764,5810.0295586935035,7984.921714467243
s3.request,2019-12-28T19:00:00Z,1572.9413945165861,3748.5576114103815,5924.173828304177
s3.request,2019-12-28T20:00:00Z,47.86018456715237,2224.2002216882815,4400.540258809411
s3.request,2019-12-28T21:00:00Z,-587.5544974345617,1589.5091192614518,3766.5727359574653
s3.request,2019-12-28T22:00:00Z,-437.60429198728616,1740.182663871035,3917.969619729356
s3.request,2019-12-28T23:00:00Z,149.4419397755123,2327.9519946230407,4506.462049470569
